SENSOR_TYPE,NIS,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
L,3.21274,0.122456,0.113867,0.900568,0.606208
R,2.88875,0.12232,0.113758,0.899423,0.60544
L,1.0059,0.122203,0.113625,0.898281,0.604671
R,2.42481,0.122109,0.113491,0.897144,0.603905
L,0.332802,0.121994,0.113357,0.896012,0.603143
R,1.99148,0.121865,0.113225,0.894897,0.602383
L,2.08051,0.121721,0.113095,0.893807,0.601647
R,0.304401,0.121573,0.112966,0.892734,0.600911
L,5.36205,0.121452,0.112922,0.891651,0.60023
R,3.46894,0.12132,0.112899,0.890571,0.599552
L,1.98463,0.12121,0.112803,0.889479,0.598833
R,1.14179,0.121086,0.112716,0.888397,0.598116
L,3.96991,0.120946,0.112577,0.887323,0.597376
R,2.96227,0.120834,0.112438,0.886231,0.596638
L,2.46916,0.120693,0.112318,0.885154,0.595912
R,0.777578,0.120548,0.112202,0.884083,0.595189
L,0.828959,0.120401,0.112067,0.883034,0.594461
R,2.63267,0.120253,0.111934,0.881967,0.593735
L,3.38018,0.120127,0.111812,0.880892,0.593013
R,6.73813,0.119987,0.111682,0.879826,0.592292
L,0.106006,0.119847,0.111547,0.878767,0.591573
R,3.54387,0.119702,0.111412,0.877732,0.590856
L,0.0734389,0.119558,0.11128,0.876702,0.590143
R,11.8,0.119422,0.111145,0.875656,0.589432
L,1.36553,0.119302,0.111028,0.874607,0.588727
R,2.31419,0.119182,0.11092,0.873559,0.588025
L,4.06643,0.119055,0.110803,0.87252,0.587337
R,0.952709,0.118923,0.110697,0.871488,0.586654
L,0.173087,0.118797,0.110587,0.870459,0.585969
R,0.794643,0.118661,0.110481,0.869442,0.585284
L,0.290655,0.11852,0.110381,0.86844,0.584599
R,4.00808,0.118387,0.110265,0.867491,0.583908
L,1.03492,0.11825,0.110135,0.866531,0.583225
R,1.78514,0.11812,0.110006,0.865601,0.582547
L,6.7545,0.118082,0.109971,0.864782,0.581867
R,4.55971,0.118087,0.109928,0.863948,0.581187
L,1.93633,0.118151,0.109812,0.863132,0.580522
R,3.59934,0.118167,0.109709,0.862236,0.579851
L,0.828805,0.118206,0.109649,0.861355,0.579176
R,5.89453,0.118225,0.10963,0.860418,0.578507
L,2.61655,0.118198,0.109518,0.85946,0.577846
R,1.03512,0.118194,0.109405,0.858522,0.577192
L,3.19107,0.118163,0.109303,0.857569,0.576622
R,4.42178,0.118142,0.109194,0.856615,0.576034
L,0.291509,0.118174,0.109086,0.855678,0.57545
R,3.25977,0.118208,0.108979,0.854724,0.574856
L,0.17676,0.118235,0.108903,0.853771,0.574294
R,6.53818,0.118243,0.108809,0.852818,0.573708
L,1.20576,0.118219,0.108704,0.851863,0.573105
R,2.44472,0.118197,0.108621,0.850917,0.572531
L,2.22986,0.118158,0.108698,0.849967,0.572083
R,1.02354,0.118094,0.108795,0.84901,0.571624
L,0.48875,0.118046,0.10885,0.848061,0.571128
R,0.615419,0.117997,0.108917,0.847113,0.570628
L,0.76662,0.117991,0.108924,0.846177,0.570088
R,1.55789,0.117958,0.108916,0.845236,0.569526
L,0.0128418,0.117928,0.108927,0.844299,0.568973
R,3.78446,0.117855,0.108922,0.843359,0.568389
L,2.15306,0.117861,0.108891,0.842424,0.567795
R,1.80508,0.117853,0.108862,0.841493,0.567203
L,0.0376294,0.117855,0.108859,0.840567,0.566626
R,1.91812,0.117824,0.10886,0.839639,0.566041
L,8.27122,0.117775,0.108742,0.838714,0.565418
R,2.29832,0.11774,0.108623,0.837796,0.564797
L,1.87315,0.117646,0.108513,0.836877,0.564179
R,6.87198,0.117563,0.108438,0.835969,0.563597
L,1.23944,0.117484,0.10833,0.835068,0.562995
R,4.03626,0.117419,0.108216,0.834166,0.562389
L,2.1125,0.117309,0.108157,0.833259,0.561827
R,4.06754,0.117199,0.108074,0.832355,0.561249
L,3.15819,0.117165,0.107964,0.831468,0.560654
R,1.58476,0.117138,0.107866,0.830584,0.560079
L,0.497392,0.11709,0.107813,0.829697,0.559551
R,1.33445,0.117074,0.107778,0.828819,0.559048
L,5.48998,0.117014,0.107685,0.827939,0.558495
R,5.25328,0.116956,0.107574,0.827055,0.557913
L,1.17039,0.116871,0.10746,0.826172,0.557331
R,3.11504,0.116781,0.107349,0.825294,0.556767
L,0.0505046,0.116703,0.107239,0.824421,0.556216
R,1.8912,0.116623,0.107128,0.823551,0.555668
L,1.21004,0.116536,0.107015,0.822685,0.555106
R,4.38936,0.116439,0.106904,0.821816,0.554571
L,2.08109,0.116317,0.106823,0.820951,0.554102
R,1.58772,0.116195,0.106739,0.820096,0.553612
L,0.835121,0.116092,0.106686,0.819257,0.553167
R,2.2025,0.116011,0.10666,0.818439,0.552738
L,0.651811,0.115916,0.106606,0.817606,0.552285
R,2.07476,0.11584,0.106559,0.816778,0.551851
L,2.01184,0.115799,0.106486,0.815958,0.551392
R,7.91489,0.115829,0.106446,0.815152,0.550992
L,1.9758,0.11578,0.106395,0.81432,0.550583
R,0.8522,0.115727,0.106379,0.813489,0.550221
L,4.17025,0.115611,0.10632,0.812648,0.549809
R,9.76598,0.115492,0.106277,0.811811,0.549395
L,0.248005,0.115375,0.106228,0.810977,0.54898
R,1.7368,0.115258,0.10619,0.810144,0.548558
L,0.181904,0.11514,0.106206,0.809314,0.548197
R,2.66945,0.115023,0.106253,0.808491,0.547836
L,0.0627563,0.11491,0.106354,0.807673,0.547523
R,2.42801,0.114809,0.10643,0.806873,0.54715
L,5.11028,0.11473,0.10641,0.806079,0.546705
R,3.07332,0.114658,0.106351,0.805296,0.546212
L,2.31282,0.114558,0.106329,0.804497,0.545749
R,5.65062,0.114472,0.106252,0.803714,0.545228
L,2.08296,0.114359,0.106148,0.80291,0.544685
R,1.39273,0.114249,0.106053,0.802107,0.544167
L,1.92613,0.114138,0.105955,0.801302,0.543647
